Dates,X,Y,Z,A,B,D
01/01/2014,1,1,0,0,1,0
01/02/2014,1,1,1,0,0,0
01/03/2014,0,1,0,0,0,2
01/04/2014,2,1,0,0,2,0
01/05/2014,0,1,1,0,2,0
01/06/2014,2,0,0,0,2,0
01/07/2014,0,1,0,1,0,1
01/08/2014,0,2,0,0,0,1
01/09/2014,0,1,0,0,0,2
01/10/2014,0,1,0,1,2,0
01/11/2014,5,1,0,0,0,0
01/12/2014,0,2,0,1,1,0
01/13/2014,2,1,1,1,0,0
01/14/2014,3,1,1,0,0,0
01/15/2014,3,1,0,0,0,0
01/16/2014,0,1,0,1,0,1
01/17/2014,0,2,0,1,0,0
01/18/2014,0,1,0,1,1,0
01/19/2014,1,2,1,0,0,0
01/20/2014,0,1,1,0,0,1
01/21/2014,0,1,0,1,0,1
01/22/2014,0,0,0,0,0,3
01/23/2014,0,0,0,0,0,3
01/24/2014,0,0,0,3,0,0
01/25/2014,0,0,0,0,0,3
01/26/2014,0,0,0,0,0,3
01/27/2014,1,1,0,1,0,0
01/28/2014,0,1,0,1,0,1
01/29/2014,2,0,0,0,3,0
01/30/2014,4,0,0,0,0,0
01/31/2014,0,0,0,0,0,3
02/01/2014,0,0,0,0,0,3
02/02/2014,2,5,0,0,0,0
02/03/2014,0,4,1,0,0,0
02/04/2014,0,0,0,0,0,3
02/05/2014,0,0,0,0,0,3
02/06/2014,0,0,0,0,0,3
02/07/2014,2,0,0,0,0,1
02/08/2014,2,0,0,0,0,1
02/09/2014,0,0,0,0,0,3
02/10/2014,2,6,0,0,0,0
02/11/2014,1,0,0,0,0,0
02/12/2014,0,0,0,0,0,3
02/13/2014,2,5,0,0,0,0
02/14/2014,0,0,0,0,0,3
02/15/2014,0,0,0,0,0,3
02/16/2014,0,0,0,0,0,3
02/17/2014,0,0,0,0,0,3
02/18/2014,0,0,0,0,1,0
02/19/2014,1,0,0,0,2,0
02/20/2014,3,1,0,0,0,0
02/21/2014,1,2,0,0,0,0
02/22/2014,3,3,0,0,0,0
02/23/2014,0,3,0,1,0,0
02/24/2014,3,3,0,0,0,0
02/25/2014,3,2,0,0,0,0
02/26/2014,3,1,0,0,3,0
02/27/2014,1,1,0,0,3,0
02/28/2014,1,3,0,1,0,0
03/01/2014,3,2,0,0,0,0
03/02/2014,0,2,0,1,0,0
03/03/2014,0,1,0,1,0,0
03/04/2014,2,1,1,0,0,0
03/05/2014,2,1,1,0,0,0
03/06/2014,3,1,1,0,1,0
03/07/2014,1,2,1,0,1,0
03/08/2014,0,1,0,0,1,0
03/09/2014,3,0,1,0,0,0
03/10/2014,0,1,1,0,0,1
03/11/2014,4,0,0,0,0,0
03/12/2014,2,0,0,0,2,0
03/13/2014,1,2,0,0,0,0
03/14/2014,1,1,0,0,1,0
03/15/2014,3,1,0,0,1,0
03/16/2014,2,3,0,0,0,0
03/17/2014,1,3,0,0,2,0
03/18/2014,4,0,0,0,0,0
03/19/2014,1,0,2,1,0,0
03/20/2014,2,0,1,0,0,0
03/21/2014,1,0,0,0,1,0
03/22/2014,3,0,0,0,0,0
03/23/2014,0,0,0,0,0,3
03/24/2014,0,3,0,0,0,0
03/25/2014,0,0,0,0,0,3
03/26/2014,0,0,0,0,0,3
03/27/2014,0,0,0,0,0,3
03/28/2014,1,0,0,0,0,0
03/29/2014,0,0,0,0,0,3
03/30/2014,0,0,0,0,0,3
03/31/2014,0,2,0,0,1,0
04/01/2014,5,2,0,0,2,0
04/02/2014,0,0,0,0,1,2
04/03/2014,3,3,0,0,0,0
04/04/2014,0,4,0,0,0,0
04/05/2014,0,1,0,1,3,0
04/06/2014,1,0,0,0,0,0
04/07/2014,2,3,0,0,0,0
04/08/2014,0,1,1,1,0,0
04/09/2014,1,0,1,0,0,0
04/10/2014,0,0,0,0,0,3
04/11/2014,2,0,1,0,0,0
04/12/2014,4,1,0,1,1,0
04/13/2014,3,1,0,1,3,0
04/14/2014,1,1,1,1,5,0
04/15/2014,1,1,1,1,1,0
04/16/2014,1,1,1,1,1,0
04/17/2014,1,1,1,1,2,0
04/18/2014,1,3,0,0,0,0
04/19/2014,2,3,0,0,0,0
04/20/2014,1,3,0,0,1,0
04/21/2014,2,0,0,0,1,0
04/22/2014,6,0,0,0,1,0
04/23/2014,0,0,0,3,1,0
04/24/2014,6,6,0,0,1,0
04/25/2014,0,4,0,0,1,0
04/26/2014,7,0,0,0,2,0
04/27/2014,1,0,1,0,2,0
04/28/2014,3,0,0,0,0,0
04/29/2014,4,0,0,0,0,0
04/30/2014,4,0,0,0,3,0
05/01/2014,0,5,0,1,0,0
05/02/2014,0,3,0,1,1,0
05/03/2014,1,0,0,0,0,0
05/04/2014,1,0,0,0,0,0
05/05/2014,0,0,0,0,1,2
05/06/2014,0,3,0,0,2,0
05/07/2014,1,3,0,0,1,0
05/08/2014,1,0,0,0,1,1
05/09/2014,1,5,0,0,0,0
05/10/2014,6,2,0,0,2,0
05/11/2014,0,1,0,1,2,0
05/12/2014,1,0,0,1,1,0
05/13/2014,0,0,0,2,2,0
05/14/2014,2,1,1,3,0,0
